Type,Name,Number,Year,Description,Locus Number,Area Name,Site Name,Geom,D Code,Id String,Basket Barcode,Crate Number,Location,Square,Date,Total Count,Total Weight,Length,Width,Thickness,Kind,Northing,Easting,Latitude,Longitude,Elevation,Srid,Link Name,Other Names,Number,Major Periods,Other Periods,Surveyors,Excavation Institution,Permit Number,Publication Bibliography,Collection Strategy,Paleolithic,Natufian,Neo,Ppn,Ppna,Ppnbc,Pn,Prehistoric,Chal,Eb,Eb1,Eb23,Ib,Mb,Mb2a,Mb2bc,Lb,Ia,Ia1,Ia2,Ia3,Classical,Hel,Rom,Erom,Lrom,Byz,Ebyz,Lbyz,Islamic,Ei,Mi1,Mi23,Li,Mandate Modern,Comments
Site,Kastrouli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Excavation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fields to be filled out later
Area,A,NA,2016,Looted tombs,NA,NA,Kastrouli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Locus,NA,NA,NA,Cleaning looted tombs,NA,A,Kastrouli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basket,NA,NA,NA,Sieve collection,100,A,Kastrouli,"375358.612,4250802.750,547.769",SI-SIEVE,20000,NA,NA,NA,19-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,2 Mycenaean handles; 1 Mycenaean chalice painted; 1 fenestrated vessel; 3 handles; 58 coarseware body sherds; 322 fineware body sherds; 3 rims; 7 lug handles; 5 coarse rims; 1 fine base; 2 coarse bases; 14 painted fine rims; 6 painted body sherds; 1 base,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7/23/2016,426,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,"bulk from original basket 20000, rom the one with 400+ count",NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7/29/2016,NA,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,27 sheep/goat fragments; 1 talus; 1 sheep/goat; 1 sheep/goat phalange; 1 bird bone,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7/23/2016,31,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,"1 sheep/phalange, 2 large unidentified sheep/goat bones, 15 unidentified bone fragments",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7/29/2016,18,NA,NA,NA,NA,Bone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Basket,NA,NA,NA,"Special pottery, Mycenaean pot rim",100,A,Kastrouli,"375355.532,4250801.982,547.634",SP-SPECIAL_POTTERY,20027,NA,NA,NA,19-Jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,Mycenaean cup rim linear ornament,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7/29/2016,1,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,Mycenaean cup rim linear ornament,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7/29/2016,1,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulk,NA,NA,NA,2 Mycenaean handles; 1 Mycenaean chalice painted; 1 fenestrated vessel; 3 handles; 58 coarseware body sherds; 322 fineware body sherds; 3 rims; 7 lug handles; 5 coarse rims; 1 fine base; 2 coarse bases; 14 painted fine rims; 6 painted body sherds; 1 base,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7/23/2016,426,NA,NA,NA,NA,Pottery,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
